2026-03-17 11:42:39.672 [info] Reading sessions from keychain...
2026-03-17 11:42:39.672 [info] Getting sessions for all scopes...
2026-03-17 11:42:39.914 [info] Got stored sessions!
2026-03-17 11:42:39.914 [info] Got 1 verified sessions.
2026-03-17 11:42:39.914 [info] Got 1 sessions for ...
2026-03-17 11:42:39.914 [info] Getting sessions for all scopes...
2026-03-17 11:42:39.914 [info] Got 1 sessions for ...
2026-03-17 11:42:39.969 [info] Getting sessions for all scopes...
2026-03-17 11:42:39.969 [info] Got 1 sessions for ...
2026-03-17 11:42:40.240 [info] Getting sessions for all scopes...
2026-03-17 11:42:40.240 [info] Got 1 sessions for ...
2026-03-17 11:42:40.293 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-17 11:42:40.293 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-17 11:42:41.567 [info] Getting sessions for all scopes...
2026-03-17 11:42:41.567 [info] Got 1 sessions for ...
2026-03-17 11:43:23.773 [info] Getting sessions for all scopes...
2026-03-17 11:43:23.773 [info] Got 1 sessions for ...
2026-03-17 11:43:23.774 [info] Getting sessions for all scopes...
2026-03-17 11:43:23.774 [info] Got 1 sessions for ...
2026-03-17 11:43:27.927 [info] Getting sessions for all scopes...
2026-03-17 11:43:27.927 [info] Got 1 sessions for ...
2026-03-17 11:43:27.928 [info] Getting sessions for all scopes...
2026-03-17 11:43:27.928 [info] Got 1 sessions for ...
2026-03-17 11:45:48.798 [info] Getting sessions for all scopes...
2026-03-17 11:45:48.798 [info] Got 1 sessions for ...
2026-03-17 11:45:48.798 [info] Getting sessions for all scopes...
2026-03-17 11:45:48.798 [info] Got 1 sessions for ...
2026-03-17 11:45:51.425 [info] Getting sessions for all scopes...
2026-03-17 11:45:51.425 [info] Got 1 sessions for ...
2026-03-17 11:45:51.426 [info] Getting sessions for all scopes...
2026-03-17 11:45:51.426 [info] Got 1 sessions for ...
2026-03-17 11:45:53.878 [info] Getting sessions for all scopes...
2026-03-17 11:45:53.878 [info] Got 1 sessions for ...
2026-03-17 11:45:53.878 [info] Getting sessions for all scopes...
2026-03-17 11:45:53.878 [info] Got 1 sessions for ...
2026-03-17 11:45:56.089 [info] Getting sessions for all scopes...
2026-03-17 11:45:56.089 [info] Got 1 sessions for ...
2026-03-17 11:45:56.090 [info] Getting sessions for all scopes...
2026-03-17 11:45:56.090 [info] Got 1 sessions for ...
2026-03-17 11:46:01.633 [info] Getting sessions for all scopes...
2026-03-17 11:46:01.633 [info] Got 1 sessions for ...
2026-03-17 11:46:01.633 [info] Getting sessions for all scopes...
2026-03-17 11:46:01.633 [info] Got 1 sessions for ...
2026-03-17 11:50:28.528 [info] Getting sessions for all scopes...
2026-03-17 11:50:28.528 [info] Got 1 sessions for ...
2026-03-17 11:50:28.529 [info] Getting sessions for all scopes...
2026-03-17 11:50:28.529 [info] Got 1 sessions for ...
2026-03-17 11:53:35.388 [info] Getting sessions for all scopes...
2026-03-17 11:53:35.388 [info] Got 1 sessions for ...
2026-03-17 11:53:35.389 [info] Getting sessions for all scopes...
2026-03-17 11:53:35.389 [info] Got 1 sessions for ...
